solver,instance,sense,status,objval_reported,objbound,solvertime,totaltime,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time
PAJ_CPLEX_MOSEK,ck_n50_m10_o1_5.cbf,Max,Optimal,19331.0,19331.0,0.1251981258392334,0.15728497505187988,PAJ_CPLEX_MOSEK.ck_n50_m10_o1_5.txt,0.0,8.881784197001252e-16,-Inf,0.0,-Inf,8.881784197001252e-16,Optimal,0.0,1,1,0,3.89e-03
PAJ_CPLEX_MOSEK,ck_n50_m10_o3_5.cbf,Max,Optimal,18596.0,18596.0,0.46225500106811523,0.49546384811401367,PAJ_CPLEX_MOSEK.ck_n50_m10_o3_5.txt,0.0,0.0,-Inf,0.0,-Inf,0.0,Optimal,0.0,2,1,1,8.04e-03
PAJ_CPLEX_MOSEK,ck_n50_m10_o5_5.cbf,Max,Optimal,18365.0,18365.0,0.6322779655456543,0.6658968925476074,PAJ_CPLEX_MOSEK.ck_n50_m10_o5_5.txt,0.0,0.0,-Inf,4.008569476354751e-9,-Inf,0.0,Optimal,0.0,3,1,2,1.29e-02
PAJ_CPLEX_MOSEK,ck_n50_m20_o1_5.cbf,Max,Optimal,14635.0,14635.0,0.17423701286315918,0.2249910831451416,PAJ_CPLEX_MOSEK.ck_n50_m20_o1_5.txt,0.0,0.0,-Inf,0.0,-Inf,0.0,Optimal,0.0,1,1,0,7.40e-03
PAJ_CPLEX_MOSEK,ck_n50_m20_o3_5.cbf,Max,Optimal,13652.0,13652.0,0.33652496337890625,0.371675968170166,PAJ_CPLEX_MOSEK.ck_n50_m20_o3_5.txt,0.0,0.0,-Inf,6.462528290285263e-10,-Inf,2.1094237467877974e-15,Optimal,0.0,1,1,0,8.26e-03
PAJ_CPLEX_MOSEK,ck_n50_m20_o5_5.cbf,Max,Optimal,13070.0,13070.0,0.3311340808868408,0.36496996879577637,PAJ_CPLEX_MOSEK.ck_n50_m20_o5_5.txt,0.0,0.0,-Inf,2.9311479465832235e-8,-Inf,0.0,Optimal,0.0,1,1,0,7.95e-03
PAJ_CPLEX_MOSEK,ck_n75_m10_o1_5.cbf,Max,Optimal,30802.0,30802.0,1.9767749309539795,2.01021409034729,PAJ_CPLEX_MOSEK.ck_n75_m10_o1_5.txt,0.0,1.4210854715202004e-14,-Inf,0.0,-Inf,3.1086244689504383e-15,Optimal,0.0,3,1,2,9.53e-03
PAJ_CPLEX_MOSEK,ck_n75_m10_o3_5.cbf,Max,Optimal,29489.0,29489.0,14.442903995513916,14.475189924240112,PAJ_CPLEX_MOSEK.ck_n75_m10_o3_5.txt,0.0,2.842170943040401e-14,-Inf,0.0,-Inf,0.0,Optimal,0.0,4,1,3,1.29e-02
PAJ_CPLEX_MOSEK,ck_n75_m10_o5_5.cbf,Max,Optimal,29070.0,29070.0,6.7262279987335205,6.758929967880249,PAJ_CPLEX_MOSEK.ck_n75_m10_o5_5.txt,0.0,2.842170943040401e-14,-Inf,0.0,-Inf,0.0,Optimal,0.0,3,1,2,9.58e-03
PAJ_CPLEX_MOSEK,ck_n75_m20_o1_5.cbf,Max,Optimal,27332.0,27332.0,1.1155729293823242,1.1503641605377197,PAJ_CPLEX_MOSEK.ck_n75_m20_o1_5.txt,0.0,1.4210854715202004e-14,-Inf,0.0,-Inf,0.0,Optimal,0.0,1,1,0,5.76e-03
PAJ_CPLEX_MOSEK,ck_n75_m20_o3_5.cbf,Max,Optimal,25584.0,25584.0,60.15286707878113,60.1869740486145,PAJ_CPLEX_MOSEK.ck_n75_m20_o3_5.txt,0.0,5.684341886080802e-14,-Inf,0.0,-Inf,0.0,Optimal,0.0,5,1,4,2.85e-02
PAJ_CPLEX_MOSEK,ck_n75_m20_o5_5.cbf,Max,Optimal,24837.99999999997,24837.99999999997,38.061359882354736,38.095149993896484,PAJ_CPLEX_MOSEK.ck_n75_m20_o5_5.txt,0.0,5.684341886080802e-14,-Inf,4.5679757931793574e-7,-Inf,3.780309398848658e-13,Optimal,1.1717461327408115e-15,4,1,3,2.33e-02
PAJ_CPLEX_MOSEK,classical_200_0.cbf,Min,UserLimit,-0.11058512082975629,-0.12042036142741253,3600.1232368946075,3600.1240499019623,PAJ_CPLEX_MOSEK.classical_200_0.txt,1.2549416868820037e-16,6.472122837664074e-9,3.646555668535001e-9,-Inf,-Inf,0.0,Optimal,3.2320682994522814e-10,1,1,0,6.77e-03
PAJ_CPLEX_MOSEK,classical_200_1.cbf,Min,UserLimit,-0.11198647866102765,-0.12206480821930073,3600.061824798584,3600.0626361370087,PAJ_CPLEX_MOSEK.classical_200_1.txt,0.0,3.758692024291577e-9,2.6454702040101807e-9,-Inf,-Inf,0.0,Optimal,1.8050181028804533e-10,2,1,1,1.41e-02
PAJ_CPLEX_MOSEK,classical_200_2.cbf,Min,UserLimit,Inf,-0.1200632690785357,3600.127300977707,3600.127753973007,PAJ_CPLEX_MOSEK.classical_200_2.txt, , , , , , , , ,1,0,1,7.05e-03
