solver,instance,status,objval_reported,objbound,solvertime,totaltime,filename,objval_solution,max_linear_violation,max_soc_violation,max_socrot_violation
CPLEX_MISOCP,100_0_5_w.cbf,UserLimit,1.725874909229595e7,1.7240969331126258e7,60.00355315208435,61.841870069503784,CPLEX_MISOCP.100_0_5_w.txt,1.7258749092295945e7,3.030490188393742e-5,0.0,0.0
CPLEX_MISOCP,10_0_5_w.cbf,Optimal,1.956871266584188e6,1.9568565730285195e6,6.252986907958984,8.512725114822388,CPLEX_MISOCP.10_0_5_w.txt,1.9568712665841882e6,4.7565868044330273e-7,0.0,0.0
CPLEX_MISOCP,150_0_5_w.cbf,UserLimit,2.4079896923318397e7,2.405732223651155e7,60.003803968429565,62.00890302658081,CPLEX_MISOCP.150_0_5_w.txt,2.407989692331845e7,3.96982541133184e-5,0.0,2.8772983995395407e-10
CPLEX_MISOCP,200_0_5_w.cbf,UserLimit,NaN,3.419953798790217e7,60.06174111366272,62.08280301094055,CPLEX_MISOCP.200_0_5_w.txt, , , , 
CPLEX_MISOCP,20_0_5_w.cbf,Optimal,3.776676118171763e6,3.7766395770079824e6,20.890455961227417,22.585860013961792,CPLEX_MISOCP.20_0_5_w.txt,3.7766761181717617e6,5.107774995849468e-6,0.0,3.666224102083504e-9
CPLEX_MISOCP,50_0_5_w.cbf,UserLimit,9.967467557671621e6,9.95734941971831e6,60.01430106163025,61.76519989967346,CPLEX_MISOCP.50_0_5_w.txt,9.967467557671629e6,9.920033335220069e-6,0.0,0.0
CPLEX_MISOCP,75_0_5_w.cbf,UserLimit,1.2261368269520584e7,1.2245710696597036e7,60.002537965774536,61.80168604850769,CPLEX_MISOCP.75_0_5_w.txt,1.2261368269520586e7,1.421230990672484e-5,0.0,0.0
CPLEX_MISOCP,achtziger_stolpe06-6.1flowc.cbf,Optimal,1.8563405165068625,1.8563402974267,0.5603659152984619,2.4009528160095215,CPLEX_MISOCP.achtziger_stolpe06-6.1flowc.txt,1.8563405165068625,5.754472116591575e-16,0.0,9.194444205995467e-9
CPLEX_MISOCP,achtziger_stolpe06-6.2flowc.cbf, , , , , ,CPLEX_MISOCP.achtziger_stolpe06-6.2flowc.txt, , , , 
CPLEX_MISOCP,achtziger_stolpe06-6.5bflowc.cbf,UserLimit,NaN,1.81287884873671,60.033957958221436,61.60888385772705,CPLEX_MISOCP.achtziger_stolpe06-6.5bflowc.txt, , , , 
CPLEX_MISOCP,achtziger_stolpe06-6.5flowc.cbf, , , , , ,CPLEX_MISOCP.achtziger_stolpe06-6.5flowc.txt, , , , 
CPLEX_MISOCP,achtziger_stolpe07-5.1flowc.cbf,UserLimit,137.4120445181353,40.39663138736423,60.00135111808777,61.479496002197266,CPLEX_MISOCP.achtziger_stolpe07-5.1flowc.txt,137.4120445181353,1.0182052978535694e-9,0.0,1.4464116079181907e-16
CPLEX_MISOCP,achtziger_stolpe07-5.2bflowc.cbf, , , , , ,CPLEX_MISOCP.achtziger_stolpe07-5.2bflowc.txt, , , , 
CPLEX_MISOCP,achtziger_stolpe07-5.2flowc.cbf,Optimal,49.14128078887486,49.14079304606023,51.029518842697144,52.465044021606445,CPLEX_MISOCP.achtziger_stolpe07-5.2flowc.txt,49.14128078887486,2.835529061532716e-7,0.0,1.9990194228509488e-14
CPLEX_MISOCP,achtziger_stolpe07-5.3flowc.cbf,Optimal,7.716052159479466,7.716052159479466,4.519245862960815,5.94809889793396,CPLEX_MISOCP.achtziger_stolpe07-5.3flowc.txt,7.716052159479467,7.856901613406457e-11,0.0,2.8263591467236893e-10
CPLEX_MISOCP,b1bigflowc.cbf,UserLimit,6.360519676395265,5.618868273601686,60.00219106674194,61.466557025909424,CPLEX_MISOCP.b1bigflowc.txt,6.360519676395265,1.9855780087012757e-9,0.0,8.50584713774083e-10
CPLEX_MISOCP,ck_n50_m10_o1_5.cbf,Optimal,19330.99999999991,19330.99999999991,0.771953821182251,2.1736340522766113,CPLEX_MISOCP.ck_n50_m10_o1_5.txt,19330.999999999905,1.779826286352204e-13,0.0,0.0
CPLEX_MISOCP,ck_n50_m10_o3_5.cbf,Optimal,18596.0,18596.0,0.5308449268341064,1.9385788440704346,CPLEX_MISOCP.ck_n50_m10_o3_5.txt,18596.0,3.140820936664568e-12,0.0,0.0
CPLEX_MISOCP,ck_n50_m10_o5_5.cbf,Optimal,18365.0,18365.0,0.632349967956543,2.0037200450897217,CPLEX_MISOCP.ck_n50_m10_o5_5.txt,18365.0,0.0,0.0,0.0
CPLEX_MISOCP,ck_n50_m20_o1_5.cbf,Optimal,14635.0,14635.0,0.2525789737701416,1.655569076538086,CPLEX_MISOCP.ck_n50_m20_o1_5.txt,14635.0,0.0,0.0,2.610249794088304e-9
CPLEX_MISOCP,ck_n50_m20_o3_5.cbf,Optimal,13652.0,13652.0,0.30695009231567383,1.6874699592590332,CPLEX_MISOCP.ck_n50_m20_o3_5.txt,13652.0,0.0,0.0,3.8278813008219004e-8
CPLEX_MISOCP,ck_n50_m20_o5_5.cbf,Optimal,13070.0,13070.0,0.8460609912872314,2.247535228729248,CPLEX_MISOCP.ck_n50_m20_o5_5.txt,13070.0,3.552713678800501e-15,0.0,0.0
CPLEX_MISOCP,ck_n75_m10_o1_5.cbf,Optimal,30802.0,30802.0,1.142138957977295,2.5187370777130127,CPLEX_MISOCP.ck_n75_m10_o1_5.txt,30802.0,0.0,0.0,0.0
