solver,instance,sense,timelimit,status,objval_reported,objbound,solvertime,totaltime,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time
BONMIN_BB,ck_n75_m20_o5_5.cbf,Max, ,KilledTime, , , , ,BONMIN_BB.ck_n75_m20_o5_5.txt, , , , , , , , , , , , 
BONMIN_BB,classical_200_0.cbf,Min,3600.0,UserLimit,-0.10460386653517736,NaN,3658.0066871643066,3665.0806748867035,BONMIN_BB.classical_200_0.txt,2.6533986299918424e-16,3.572082702962831e-7,9.957730834342371e-9,-Inf,-Inf,0.0,Optimal,5.849617878598049e-7, , , , 
BONMIN_BB,classical_200_1.cbf,Min,3600.0,UserLimit,-0.11457870541019874,NaN,3666.822906970978,3673.8491899967194,BONMIN_BB.classical_200_1.txt,2.4224026197767086e-16,1.9857423616542746e-7,9.821168212020837e-9,-Inf,-Inf,0.0,Optimal,3.672249996928934e-7, , , , 
BONMIN_BB,classical_200_2.cbf,Min,3600.0,UserLimit,-0.10708423020450217,NaN,3660.751839876175,3667.65486907959,BONMIN_BB.classical_200_2.txt,1.0367754640481873e-15,8.043779486932578e-8,9.983407350810936e-9,-Inf,-Inf,0.0,Optimal,1.9325322462501043e-7, , , , 
BONMIN_BB,classical_20_0.cbf,Min,3600.0,Optimal,-0.08229516094137032,NaN,0.6924018859863281,7.204316139221191,BONMIN_BB.classical_20_0.txt,0.0,3.348203025943519e-8,9.901348546614841e-9,-Inf,-Inf,0.0,Optimal,8.530962249438972e-8, , , , 
BONMIN_BB,classical_30_0.cbf,Min,3600.0,Optimal,-0.07981450197886837,NaN,1.2384650707244873,7.8729248046875,BONMIN_BB.classical_30_0.txt,1.7387551715211766e-16,5.544282011271662e-8,9.58618040503012e-9,-Inf,-Inf,0.0,Optimal,8.108604736261904e-8, , , , 
BONMIN_BB,classical_40_0.cbf,Min,3600.0,Optimal,-0.0815210689993894,NaN,4.673874855041504,11.428088188171387,BONMIN_BB.classical_40_0.txt,1.7023559649246506e-16,3.476100451926811e-8,9.648453341837282e-9,-Inf,-Inf,0.0,Optimal,9.4293225614789e-8, , , , 
BONMIN_BB,classical_50_0.cbf,Min,3600.0,Optimal,-0.09074142546857222,NaN,801.6742489337921,808.3103451728821,BONMIN_BB.classical_50_0.txt,0.0,4.3419168482827786e-8,9.978516152253647e-9,-Inf,-Inf,0.0,Optimal,1.1574633600338539e-7, , , , 
BONMIN_BB,classical_50_1.cbf,Min,3600.0,Optimal,-0.09476024262566207,NaN,964.8149819374084,971.4505469799042,BONMIN_BB.classical_50_1.txt,1.4645158584741958e-16,1.1673886235463726e-7,9.704709313940185e-9,-Inf,-Inf,0.0,Optimal,1.849348366881313e-7, , , , 
BONMIN_BB,classical_50_2.cbf,Min,3600.0,Optimal,-0.09052798598271458,NaN,46.02971601486206,52.733726024627686,BONMIN_BB.classical_50_2.txt,1.53298316063988e-16,1.0011233220197369e-7,9.641762055423442e-9,-Inf,-Inf,0.0,Optimal,1.3918336474929155e-7, , , , 
BONMIN_BB,clay0203h.cbf,Min,3600.0,Infeasible,0.0,NaN,2.735290050506592,9.387302160263062,BONMIN_BB.clay0203h.txt, , , , , , , , , , , , 
BONMIN_BB,clay0203m.cbf,Min,3600.0,Optimal,41573.25422854173,NaN,23.969449996948242,30.6875901222229,BONMIN_BB.clay0203m.txt,0.0,7.456999992427882e-5,9.9999688529806e-9,-Inf,-Inf,0.0,Optimal,2.1036490813332606e-7, , , , 
BONMIN_BB,clay0204h.cbf,Min,3600.0,UserLimit,6604.999877500441,NaN,3635.614084005356,3642.3326439857483,BONMIN_BB.clay0204h.txt,0.0,9.999981818209366e-9,1.3307138633148577e-9,-Inf,-Inf,0.0,Optimal,1.8595368433410454e-8, , , , 
BONMIN_BB,clay0204m.cbf,Min,3600.0,Optimal,6544.999090650224,NaN,406.8947100639343,413.65053510665894,BONMIN_BB.clay0204m.txt,0.0,8.04999984893584e-7,0.0,-Inf,-Inf,0.0,Optimal,1.3896267896276798e-7, , , , 
BONMIN_BB,clay0205h.cbf,Min,3600.0,UserLimit,8488.34358779156,NaN,3627.2345519065857,3633.985225915909,BONMIN_BB.clay0205h.txt,0.0,9.999993721976352e-9,1.0000803740695119e-8,-Inf,-Inf,0.0,Optimal,3.6904818911162775e-7, , , , 
BONMIN_BB,clay0205m.cbf,Min,3600.0,UserLimit,8222.4988522784,NaN,3664.358362197876,3671.0965161323547,BONMIN_BB.clay0205m.txt,0.0,8.049998285741822e-7,0.0,-Inf,-Inf,0.0,Optimal,1.3975858117291787e-7, , , , 
BONMIN_BB,clay0303h.cbf,Min,3600.0,Optimal,41573.25985452494,NaN,1101.3434009552002,1108.0917031764984,BONMIN_BB.clay0303h.txt,0.0,1.0005351214203984e-8,1.0000064776249928e-8,-Inf,-Inf,0.0,Optimal,3.19312127810518e-7, , , , 
BONMIN_BB,clay0303m.cbf,Min,3600.0,Optimal,26669.098369353458,NaN,102.73134517669678,109.38293504714966,BONMIN_BB.clay0303m.txt,0.0,7.456999901478412e-5,9.999975958407958e-9,-Inf,-Inf,0.0,Optimal,4.2631388176186824e-7, , , , 
BONMIN_BB,clay0304h.cbf,Min,3600.0,Error,NaN,NaN,3647.6620168685913,3654.3841099739075,BONMIN_BB.clay0304h.txt, , , , , , , , , , , , 
