solver,instance,sense,timelimit,status,objval_reported,objbound,solvertime,totaltime,nodecount,filename,rel_objval_error,max_linear_violation,max_soc_violation,max_socrot_violation,max_exp_violation,max_psd_violation,max_int_violation,validator_status,validator_relobjdiff,conic_subproblem_count,conic_optimal_count,conic_infeasible_count,conic_subproblem_time,conic_relaxation_time,mip_subproblem_time,iteration_count
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_b.cbf,Min,3600.0,Optimal,-0.09695835915774674,-0.0969582426306975,0.06027507781982422,0.06065011024475098,42,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_b.txt, ,7.15573433840433e-18,2.982053759370551e-6,-Inf,7.067400149551872e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_c.cbf,Min,3600.0,Optimal,-0.12375617605456381,-0.1237574130962273,21.13175678253174,21.132397174835205,36366,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_c.txt, ,1.0625181290357943e-17,6.467188588127337e-7,-Inf,7.491346170063196e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_d.cbf,Min,3600.0,Optimal,-0.13913129270103622,-0.13913260826030166,19.061214923858643,19.062072038650513,10953,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_d.txt, ,4.553649124439119e-18,9.327099257244731e-7,-Inf,9.265869320707054e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_e.cbf,Min,3600.0,Optimal,-0.14169334758196944,-0.14169474889955475,4.019313097000122,4.020481109619141,1215,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_e.txt, ,6.938893903907228e-18,1.561211633846482e-6,-Inf,9.90741642281634e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
PAJ_CPLEX_noconic_msd,multiportfolio_socexp_f.cbf,Min,3600.0,Optimal,-0.15547990041188942,-0.15547703346256042,2.240096092224121,2.24251389503479,0,PAJ_CPLEX_noconic_msd.multiportfolio_socexp_f.txt, ,2.220446049250313e-16,7.4303239651352104e-6,-Inf,9.678103018995188e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00, , 
PAJ_CPLEX_noconic,multiportfolio_socexp_a.cbf,Min,3600.0,Optimal,-0.08444002378617957,-0.08444002378617957,0.05855202674865723,0.05889892578125,NaN,PAJ_CPLEX_noconic.multiportfolio_socexp_a.txt, ,6.938893903907228e-18,5.174672823106408e-6,-Inf,1.2912821998334323e-6,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00,5.54e-02,15
PAJ_CPLEX_noconic,multiportfolio_socexp_b.cbf,Min,3600.0,Optimal,-0.09696170470984615,-0.09696170470984615,0.27185797691345215,0.2722659111022949,NaN,PAJ_CPLEX_noconic.multiportfolio_socexp_b.txt, ,7.15573433840433e-18,4.4214623375199436e-6,-Inf,9.48981247139713e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00,2.66e-01,15
PAJ_CPLEX_noconic,multiportfolio_socexp_c.cbf,Min,3600.0,Optimal,-0.12375793425372845,-0.12375888788833248,53.907602071762085,53.90837502479553,NaN,PAJ_CPLEX_noconic.multiportfolio_socexp_c.txt, ,3.469446951953614e-18,6.2717599593961615e-6,-Inf,1.609306682581746e-6,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00,5.39e+01,16
PAJ_CPLEX_noconic,multiportfolio_socexp_d.cbf,Min,3600.0,Optimal,-0.13915933193829197,-0.13915994876183113,38.19457793235779,38.19540095329285,NaN,PAJ_CPLEX_noconic.multiportfolio_socexp_d.txt, ,1.0408340855860843e-17,3.901513528345446e-6,-Inf,1.3324980214779458e-6,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00,3.82e+01,17
PAJ_CPLEX_noconic,multiportfolio_socexp_e.cbf,Min,3600.0,Optimal,-0.14170812297990276,-0.1417090303463952,37.89248609542847,37.89392590522766,NaN,PAJ_CPLEX_noconic.multiportfolio_socexp_e.txt, ,6.938893903907228e-18,1.9978182784347043e-6,-Inf,2.26636287248283e-6,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00,3.78e+01,19
PAJ_CPLEX_noconic,multiportfolio_socexp_f.cbf,Min,3600.0,Optimal,-0.15542926789459355,-0.15542926789459355,51.039355993270874,51.04213905334473,NaN,PAJ_CPLEX_noconic.multiportfolio_socexp_f.txt, ,1.0104764247564901e-16,3.363085901000873e-6,-Inf,9.720871243512619e-7,-Inf,0.0, , ,0, , ,0.00e+00,0.00e+00,5.09e+01,20
PAJ_CPLEX_SCS,multiportfolio_socexp_a.cbf,Min,3600.0,Optimal,-0.08475490095672815,-0.08469430853459994,1.900033950805664,1.9004290103912354,NaN,PAJ_CPLEX_SCS.multiportfolio_socexp_a.txt, ,0.00014130068871780568,0.0,-Inf,4.955398432038294e-5,-Inf,0.0, , ,2,2,0,8.19e-01,1.07e+00,8.24e-03,2
PAJ_CPLEX_SCS,multiportfolio_socexp_b.cbf,Min,3600.0,Optimal,-0.09794845757387259,-0.0976986525176777,6.496973037719727,6.4975669384002686,NaN,PAJ_CPLEX_SCS.multiportfolio_socexp_b.txt, ,0.0008156517538617759,2.052471706648351e-6,-Inf,0.00013874291438642494,-Inf,0.0, , ,2,2,0,2.77e+00,3.71e+00,1.34e-02,2
PAJ_CPLEX_SCS,multiportfolio_socexp_c.cbf,Min,3600.0,Optimal,-0.12425425191952534,-0.12401154393601281,53.6555700302124,53.656311988830566,NaN,PAJ_CPLEX_SCS.multiportfolio_socexp_c.txt, ,0.00038844031954638294,0.0,-Inf,3.3202896005279925e-5,-Inf,0.0, , ,3,3,0,2.84e+01,2.08e+01,4.46e+00,3
PAJ_CPLEX_SCS,multiportfolio_socexp_d.cbf,Min,3600.0,Optimal,-0.143542259547162,-0.14344507250271352,256.4191610813141,256.42015314102173,NaN,PAJ_CPLEX_SCS.multiportfolio_socexp_d.txt, ,0.00071004783337396,0.00029235436044696556,-Inf,6.042999101740776e-5,-Inf,0.0, , ,10,4,0,2.10e+02,4.45e+01,2.11e+00,10
PAJ_CPLEX_SCS,multiportfolio_socexp_e.cbf,Min,3600.0,Optimal,-0.1428898459457454,-0.14255636651950693,657.4634130001068,657.4649000167847,NaN,PAJ_CPLEX_SCS.multiportfolio_socexp_e.txt, ,0.0005132773648188079,1.1987831528281756e-6,-Inf,1.0760311722313176e-5,-Inf,0.0, , ,15,10,0,5.35e+02,1.12e+02,1.07e+01,15
PAJ_CPLEX_SCS,multiportfolio_socexp_f.cbf,Min,3600.0,Optimal,-0.15638114578605428,-0.15590030086752693,1497.419192790985,1497.4220550060272,NaN,PAJ_CPLEX_SCS.multiportfolio_socexp_f.txt, ,0.0003111161825648779,4.3847145147490885e-5,-Inf,8.53782479759424e-6,-Inf,0.0, , ,13,3,0,1.20e+03,2.57e+02,4.08e+01,13
