solver,instance,status,objval_reported,objbound,solvertime,totaltime,filename,objval_solution,max_linear_violation,max_soc_violation,max_socrot_violation,max_int_violation,validator_status,validator_objval
CPLEX_MISOCP,10_0_5_w.cbf,Optimal,1.956871266584188e6,1.9568565730285195e6,5.925068140029907,7.594428062438965,CPLEX_MISOCP.10_0_5_w.txt,1.9568712665841882e6,4.7565868044330273e-7,0.0,2.0679515313825692e-25,0.0,Optimal,1.9568712662657667e6
CPLEX_MISOCP,achtziger_stolpe06-6.1flowc.cbf,Optimal,1.8563405165068625,1.8563402974267,0.3921339511871338,1.803920030593872,CPLEX_MISOCP.achtziger_stolpe06-6.1flowc.txt,1.8563405165068625,5.754472116591575e-16,0.0,4.636254602452539e-9,0.0,Optimal,1.8563402244992748
CPLEX_MISOCP,ck_n50_m10_o1_5.cbf,Optimal,19330.99999999991,19330.99999999991,0.7683110237121582,2.183551073074341,CPLEX_MISOCP.ck_n50_m10_o1_5.txt,19330.999999999905,1.779826286352204e-13,0.0,0.0,1.096123192212417e-12,Optimal,19331.0
CPLEX_MISOCP,classical_20_0.cbf,Optimal,-0.0822951535423037,-0.0822951535423037,0.0967860221862793,1.7371399402618408,CPLEX_MISOCP.classical_20_0.txt,-0.0822951535423037,7.403923030224746e-9,7.053007622381813e-10,0.0,1.3290418732214704e-7,Optimal,-0.0822951539216543
CPLEX_MISOCP,clay0203h.cbf,Optimal,41573.2561591053,41573.2561591053,0.9488439559936523,3.2021420001983643,CPLEX_MISOCP.clay0203h.txt,41573.2561591053,0.00016129043069668114,4.6607510739704594e-8,0.0,0.0,Optimal,41573.246204639756
CPLEX_MISOCP,estein4_A.cbf,Optimal,0.8013654898906748,0.8013654898906748,0.01785588264465332,1.3069980144500732,CPLEX_MISOCP.estein4_A.txt,0.8013654898906748,1.372916982878003e-8,0.0,0.0,0.0,Optimal,0.801365500999897
CPLEX_MISOCP,pp-n10-d10.cbf,Optimal,72.48123688467378,72.48123688467378,0.04198002815246582,1.4690229892730713,CPLEX_MISOCP.pp-n10-d10.txt,72.48123688467378,0.0,0.0,3.813023514709357e-7,0.0,Optimal,72.48127653570282
CPLEX_MISOCP,sssd-weak-15-4.cbf,Optimal,327996.57376123976,327993.508886776,1.697418212890625,3.34212589263916,CPLEX_MISOCP.sssd-weak-15-4.txt,327996.57376123976,2.220446049250313e-16,0.0,7.669345358785051e-7,0.0,Optimal,327997.6899675544
CPLEX_MISOCP,tls2.cbf,Optimal,5.300000554723355,5.300000554723356,0.28171610832214355,1.9093780517578125,CPLEX_MISOCP.tls2.txt,5.300000554723355,1.4965644723474725e-7,0.0,0.0,2.9151416942596597e-6,Optimal,5.3
CPLEX_MISOCP,uflquad-nopsc-10-100.cbf,Optimal,540.2876032268978,540.2876032268978,3.6481380462646484,5.37039589881897,CPLEX_MISOCP.uflquad-nopsc-10-100.txt,540.2876032269135,4.645202111852598e-9,0.0,0.0,0.0,Optimal,540.2875210691132
PAJ_CBC_ECOS,10_0_5_w.cbf,Optimal,1.9568712668856916e6,1.9568712670073006e6,36.544119119644165,36.580636978149414,PAJ_CBC_ECOS.10_0_5_w.txt,1.9568712668856916e6,1.525801715996164e-8,0.0,3.499542655660548e-9,1.1102230246251565e-16,Optimal,1.9568712662657667e6
PAJ_CBC_ECOS,achtziger_stolpe06-6.1flowc.cbf,Optimal,2.795084965863797,2.7950849705033214,1.0303258895874023,1.0634851455688477,PAJ_CBC_ECOS.achtziger_stolpe06-6.1flowc.txt,2.795084965863797,6.200662205912977e-11,0.0,1.5990856621759522e-9,0.0,Optimal,2.7950853038010615
PAJ_CBC_ECOS,ck_n50_m10_o1_5.cbf,Optimal,19331.0,19331.0,1.5697529315948486,1.6021599769592285,PAJ_CBC_ECOS.ck_n50_m10_o1_5.txt,19331.0,4.263256414560601e-14,0.0,0.0,1.1102230246251565e-16,Optimal,19331.0
PAJ_CBC_ECOS,classical_20_0.cbf,Optimal,-0.08229515325784328,-0.08229515317794678,0.7849140167236328,0.785355806350708,PAJ_CBC_ECOS.classical_20_0.txt,-0.08229515325784328,1.4056117381144873e-12,1.416719519475862e-10,0.0,1.1102230246251565e-16,Optimal,-0.0822951539216543
PAJ_CBC_ECOS,clay0203h.cbf,Optimal,41573.25941579459,41573.25943834059,114.38441300392151,114.386873960495,PAJ_CBC_ECOS.clay0203h.txt,41573.25941579459,7.275957614183426e-12,6.197888069436885e-8,0.0,1.1102230246251565e-16,Optimal,41573.240556750214
PAJ_CBC_ECOS,estein4_A.cbf,Optimal,0.8013654947284473,0.8013654952765061,0.8567149639129639,0.8572540283203125,PAJ_CBC_ECOS.estein4_A.txt,0.8013654947284473,2.2444844883987946e-11,1.2085110689952216e-10,0.0,0.0,Optimal,0.801365500999897
PAJ_CBC_ECOS,pp-n10-d10.cbf,Optimal,72.48127648671706,72.48127653282306,0.7286040782928467,0.7612638473510742,PAJ_CBC_ECOS.pp-n10-d10.txt,72.48127648671706,3.632760758875975e-11,0.0,3.654321290014195e-10,1.7763568394002505e-15,Optimal,72.48127653570282
PAJ_CBC_ECOS,sssd-weak-15-4.cbf,Optimal,327997.9198652002,327997.91986313596,28.055299043655396,28.089828968048096,PAJ_CBC_ECOS.sssd-weak-15-4.txt,327997.9198652002,6.661338147750939e-16,0.0,7.841278737430457e-10,1.1102230246251565e-16,Optimal,327997.6899675544
