----------------------------------------------------------------------------
	SCS v1.2.6 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012-2016
----------------------------------------------------------------------------
Lin-sys: sparse-direct, nnz in A = 8372
eps = 1.00e-04, alpha = 1.80, max_iters = 50000, normalize = 1, scale = 5.00
Variables n = 824, constraints m = 2417
Cones:	primal zero / dual free vars: 328
	linear vars: 673
	soc vars: 208, soc blks: 8
	sd vars: 728, sd blks: 8
	exp vars: 480, dual exp vars: 0
Setup time: 1.80e-03s
----------------------------------------------------------------------------
 Iter | pri res | dua res | rel gap | pri obj | dua obj | kap/tau | time (s)
----------------------------------------------------------------------------
     0|      inf       inf      -nan      -inf      -inf       inf  2.68e-03 
   100| 3.37e-03  1.55e-02  3.16e-02 -2.71e-01 -2.24e-01  2.45e-15  3.37e-01 
   200| 1.48e-03  1.02e-02  1.83e-02 -2.45e-01 -2.18e-01  0.00e+00  6.75e-01 
   300| 1.78e-03  4.76e-03  1.59e-02 -2.38e-01 -2.15e-01  0.00e+00  9.68e-01 
   400| 1.79e-03  2.97e-03  1.60e-02 -2.36e-01 -2.13e-01  0.00e+00  1.24e+00 
   500| 1.79e-03  3.18e-03  1.65e-02 -2.35e-01 -2.11e-01  1.30e-15  1.51e+00 
   600| 1.84e-03  3.05e-03  1.71e-02 -2.33e-01 -2.09e-01  0.00e+00  1.77e+00 
   700| 1.88e-03  2.24e-03  1.78e-02 -2.32e-01 -2.07e-01  1.33e-15  2.04e+00 
   800| 1.87e-03  1.79e-03  1.87e-02 -2.32e-01 -2.05e-01  1.35e-15  2.30e+00 
   900| 1.87e-03  1.57e-03  1.95e-02 -2.31e-01 -2.03e-01  0.00e+00  2.57e+00 
  1000| 1.88e-03  1.51e-03  2.04e-02 -2.30e-01 -2.01e-01  0.00e+00  2.84e+00 
  1100| 1.90e-03  1.46e-03  2.14e-02 -2.30e-01 -1.99e-01  0.00e+00  3.10e+00 
  1200| 1.91e-03  1.38e-03  2.24e-02 -2.29e-01 -1.97e-01  0.00e+00  3.35e+00 
  1300| 1.94e-03  1.30e-03  2.34e-02 -2.28e-01 -1.95e-01  0.00e+00  3.60e+00 
  1400| 1.96e-03  1.26e-03  2.45e-02 -2.28e-01 -1.93e-01  0.00e+00  3.86e+00 
  1500| 1.99e-03  1.21e-03  2.57e-02 -2.27e-01 -1.91e-01  0.00e+00  4.12e+00 
  1600| 2.01e-03  1.17e-03  2.69e-02 -2.27e-01 -1.89e-01  0.00e+00  4.38e+00 
  1700| 2.04e-03  1.14e-03  2.81e-02 -2.26e-01 -1.87e-01  0.00e+00  4.64e+00 
  1800| 2.07e-03  1.10e-03  2.94e-02 -2.26e-01 -1.84e-01  0.00e+00  4.91e+00 
  1900| 2.10e-03  1.07e-03  3.07e-02 -2.25e-01 -1.82e-01  0.00e+00  5.18e+00 
  2000| 2.14e-03  1.03e-03  3.22e-02 -2.25e-01 -1.80e-01  0.00e+00  5.46e+00 
  2100| 2.17e-03  1.00e-03  3.37e-02 -2.24e-01 -1.77e-01  0.00e+00  5.73e+00 
  2200| 2.19e-03  9.71e-04  3.53e-02 -2.24e-01 -1.75e-01  0.00e+00  6.00e+00 
  2300| 5.18e-04  9.48e-04  3.38e-02 -2.19e-01 -1.72e-01  0.00e+00  6.27e+00 
  2400| 4.68e-04  8.63e-04  3.21e-02 -2.15e-01 -1.71e-01  0.00e+00  6.51e+00 
  2500| 4.26e-04  8.06e-04  3.04e-02 -2.11e-01 -1.69e-01  0.00e+00  6.73e+00 
  2600| 3.90e-04  7.58e-04  2.90e-02 -2.08e-01 -1.68e-01  0.00e+00  6.97e+00 
  2700| 3.59e-04  7.17e-04  2.76e-02 -2.04e-01 -1.67e-01  0.00e+00  7.18e+00 
  2800| 3.32e-04  6.79e-04  2.64e-02 -2.02e-01 -1.66e-01  0.00e+00  7.38e+00 
  2900| 3.08e-04  6.46e-04  2.52e-02 -1.99e-01 -1.65e-01  0.00e+00  7.59e+00 
  3000| 2.87e-04  6.16e-04  2.42e-02 -1.97e-01 -1.64e-01  0.00e+00  7.80e+00 
  3100| 2.68e-04  5.89e-04  2.32e-02 -1.95e-01 -1.63e-01  1.11e-15  8.01e+00 
  3200| 2.51e-04  5.64e-04  2.22e-02 -1.93e-01 -1.63e-01  1.13e-15  8.22e+00 
  3300| 2.36e-04  5.42e-04  2.13e-02 -1.91e-01 -1.62e-01  2.29e-15  8.42e+00 
  3400| 2.22e-04  5.21e-04  2.05e-02 -1.89e-01 -1.61e-01  1.16e-15  8.63e+00 
  3500| 2.09e-04  5.02e-04  1.97e-02 -1.88e-01 -1.61e-01  0.00e+00  8.84e+00 
  3600| 1.98e-04  4.84e-04  1.90e-02 -1.86e-01 -1.61e-01  1.20e-15  9.05e+00 
  3700| 1.87e-04  4.68e-04  1.83e-02 -1.85e-01 -1.60e-01  0.00e+00  9.25e+00 
  3800| 1.77e-04  4.52e-04  1.76e-02 -1.83e-01 -1.60e-01  1.23e-15  9.44e+00 
  3900| 1.68e-04  4.38e-04  1.70e-02 -1.82e-01 -1.59e-01  0.00e+00  9.62e+00 
