----------------------------------------------------------------------------
	SCS v1.2.6 - Splitting Conic Solver
	(c) Brendan O'Donoghue, Stanford University, 2012-2016
----------------------------------------------------------------------------
Lin-sys: sparse-direct, nnz in A = 1500
eps = 1.00e-04, alpha = 1.80, max_iters = 50000, normalize = 1, scale = 5.00
Variables n = 360, constraints m = 805
Cones:	primal zero / dual free vars: 120
	linear vars: 253
	soc vars: 72, soc blks: 12
	exp vars: 360, dual exp vars: 0
Setup time: 4.14e-04s
----------------------------------------------------------------------------
 Iter | pri res | dua res | rel gap | pri obj | dua obj | kap/tau | time (s)
----------------------------------------------------------------------------
  4400| 1.45e-04  3.81e-05  3.51e-03 -1.56e-01 -1.51e-01  0.00e+00  1.37e+01 
  4500| 1.32e-04  2.22e-05  3.33e-03 -1.55e-01 -1.51e-01  0.00e+00  1.40e+01 
  4600| 1.34e-04  1.82e-05  3.15e-03 -1.55e-01 -1.51e-01  0.00e+00  1.42e+01 
  4700| 1.30e-04  1.72e-05  3.00e-03 -1.55e-01 -1.51e-01  0.00e+00  1.45e+01 
  4800| 1.23e-04  1.65e-05  2.86e-03 -1.55e-01 -1.51e-01  0.00e+00  1.47e+01 
  4900| 1.16e-04  1.57e-05  2.73e-03 -1.54e-01 -1.51e-01  0.00e+00  1.49e+01 
  5000| 1.10e-04  1.48e-05  2.61e-03 -1.54e-01 -1.51e-01  0.00e+00  1.51e+01 
  5100| 1.05e-04  1.40e-05  2.49e-03 -1.54e-01 -1.51e-01  0.00e+00  1.54e+01 
  5200| 9.99e-05  1.32e-05  2.38e-03 -1.54e-01 -1.51e-01  0.00e+00  1.56e+01 
  5300| 9.52e-05  1.25e-05  2.28e-03 -1.54e-01 -1.51e-01  0.00e+00  1.58e+01 
  5400| 9.08e-05  1.19e-05  2.18e-03 -1.53e-01 -1.51e-01  0.00e+00  1.60e+01 
  5500| 8.67e-05  1.13e-05  2.09e-03 -1.53e-01 -1.51e-01  0.00e+00  1.63e+01 
  5600| 8.28e-05  1.08e-05  2.00e-03 -1.53e-01 -1.51e-01  0.00e+00  1.65e+01 
  5700| 7.91e-05  1.03e-05  1.91e-03 -1.53e-01 -1.51e-01  0.00e+00  1.67e+01 
  5800| 7.57e-05  9.79e-06  1.83e-03 -1.53e-01 -1.51e-01  0.00e+00  1.69e+01 
  5900| 7.24e-05  9.34e-06  1.76e-03 -1.53e-01 -1.51e-01  0.00e+00  1.71e+01 
  6000| 6.94e-05  8.91e-06  1.68e-03 -1.53e-01 -1.51e-01  0.00e+00  1.74e+01 
  6100| 6.64e-05  8.51e-06  1.61e-03 -1.53e-01 -1.51e-01  0.00e+00  1.76e+01 
  6200| 6.37e-05  8.13e-06  1.55e-03 -1.53e-01 -1.51e-01  0.00e+00  1.78e+01 
  6300| 6.10e-05  7.77e-06  1.48e-03 -1.52e-01 -1.51e-01  0.00e+00  1.80e+01 
  6400| 5.86e-05  7.43e-06  1.42e-03 -1.52e-01 -1.51e-01  0.00e+00  1.82e+01 
  6500| 5.62e-05  7.11e-06  1.36e-03 -1.52e-01 -1.51e-01  0.00e+00  1.85e+01 
  6600| 5.39e-05  6.80e-06  1.31e-03 -1.52e-01 -1.51e-01  0.00e+00  1.87e+01 
  6700| 5.18e-05  6.51e-06  1.26e-03 -1.52e-01 -1.50e-01  0.00e+00  1.89e+01 
  6800| 4.98e-05  6.23e-06  1.21e-03 -1.52e-01 -1.50e-01  0.00e+00  1.91e+01 
  6900| 4.78e-05  5.97e-06  1.16e-03 -1.52e-01 -1.50e-01  0.00e+00  1.93e+01 
  7000| 4.60e-05  5.72e-06  1.11e-03 -1.52e-01 -1.50e-01  0.00e+00  1.95e+01 
  7100| 4.42e-05  5.48e-06  1.07e-03 -1.52e-01 -1.50e-01  0.00e+00  1.98e+01 
  7200| 4.25e-05  5.26e-06  1.03e-03 -1.52e-01 -1.50e-01  0.00e+00  2.00e+01 
  7300| 4.09e-05  5.04e-06  9.86e-04 -1.52e-01 -1.50e-01  0.00e+00  2.02e+01 
  7400| 3.94e-05  4.83e-06  9.47e-04 -1.52e-01 -1.50e-01  0.00e+00  2.04e+01 
  7500| 3.80e-05  4.64e-06  9.10e-04 -1.52e-01 -1.50e-01  0.00e+00  2.06e+01 
  7600| 3.66e-05  4.45e-06  8.74e-04 -1.52e-01 -1.50e-01  0.00e+00  2.08e+01 
  7700| 3.52e-05  4.27e-06  8.40e-04 -1.52e-01 -1.50e-01  0.00e+00  2.11e+01 
  7800| 3.40e-05  4.10e-06  8.08e-04 -1.51e-01 -1.50e-01  0.00e+00  2.13e+01 
  7900| 3.27e-05  3.93e-06  7.76e-04 -1.51e-01 -1.50e-01  0.00e+00  2.15e+01 
  8000| 3.16e-05  3.78e-06  7.46e-04 -1.51e-01 -1.50e-01  0.00e+00  2.17e+01 
  8100| 3.05e-05  3.63e-06  7.17e-04 -1.51e-01 -1.50e-01  0.00e+00  2.19e+01 
  8200| 2.94e-05  3.48e-06  6.90e-04 -1.51e-01 -1.50e-01  0.00e+00  2.21e+01 
  8300| 2.84e-05  3.35e-06  6.63e-04 -1.51e-01 -1.50e-01  0.00e+00  2.24e+01 
  8400| 2.74e-05  3.22e-06  6.38e-04 -1.51e-01 -1.50e-01  0.00e+00  2.26e+01 
  8500| 2.65e-05  3.09e-06  6.14e-04 -1.51e-01 -1.50e-01  0.00e+00  2.28e+01 
  8600| 2.56e-05  2.97e-06  5.90e-04 -1.51e-01 -1.50e-01  0.00e+00  2.30e+01 
  8700| 2.47e-05  2.85e-06  5.68e-04 -1.51e-01 -1.50e-01  0.00e+00  2.32e+01 
  8800| 2.39e-05  2.74e-06  5.46e-04 -1.51e-01 -1.50e-01  0.00e+00  2.34e+01 
  8900| 2.31e-05  2.64e-06  5.25e-04 -1.51e-01 -1.50e-01  0.00e+00  2.37e+01 
  9000| 2.24e-05  2.54e-06  5.05e-04 -1.51e-01 -1.50e-01  0.00e+00  2.39e+01 
  9100| 2.17e-05  2.44e-06  4.86e-04 -1.51e-01 -1.50e-01  0.00e+00  2.41e+01 
  9200| 2.10e-05  2.35e-06  4.68e-04 -1.51e-01 -1.50e-01  0.00e+00  2.43e+01 
  9300| 2.03e-05  2.26e-06  4.50e-04 -1.51e-01 -1.50e-01  0.00e+00  2.45e+01 
  9400| 1.97e-05  2.17e-06  4.33e-04 -1.51e-01 -1.50e-01  0.00e+00  2.47e+01 
  9500#SOLVERNAME# SCS
#SOLVER# SCS.SCSSolver(Any[(:verbose, 1), (:eps, 0.0001), (:max_iters, 50000)])
#INSTANCE# multiportfolio_socexp_5.cbf.gz
#TIMELIMIT# 300.0
#STATUS# Optimal
#OBJVAL# -0.15052866663402795
#OBJBOUND# NaN
#NODECOUNT# NaN
#TIMESOLVER# 33.973103046417236
#TIMEALL# 35.84537887573242
