
ECOS 2.0.5 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
#SOLUTION# [1.9679040068657275e-9,-7.585031366092828e-14,-2.172650527946382e-13,-2.1061699897251263e-13,-2.4062213167210476e-13,-2.5270416438587875e-13,-9.218760482015353e-14,0.0033845971102174966,-1.2402124404605886e-13,-5.64991874788992e-14,-2.782439877042258e-13,-4.383610318002213e-14,-1.0056402887341273e-13,-1.1902707169114608e-13,0.0011087446163713173,-2.2307685297531613e-13,0.006252114961877955,-6.941804625818795e-14,-7.397404785107577e-15,-1.160080220154283e-13,-3.8788264455131565e-14,0.0006537217562967935,-5.5697083610986926e-14,-3.45032690270916e-13,0.009604591622655145,-1.5666147989364582e-13,-3.3000140065176683e-13,-1.2613391242655503e-13,0.007449585030698004,-1.107420337438077e-13,0.006747965203319234,-1.8385092716865158e-13,-1.0620085733400364e-13,-3.488342001199588e-14,-1.247635553534053e-13,0.0018270270121096854,-8.757474586284876e-14,-4.5530654613609294e-14,-1.5611774543170858e-13,-1.7779950889654466e-13,0.006311209051838687,0.006434639682106053,0.019534259681032003,-1.0598136758840089e-13,-2.434261897514897e-13,-1.262214008904441e-13,0.0015845622707707694,-1.889538096218988e-13,-1.212350779096039e-13,1.5426253381983225e-8,-1.1123357561490689e-13,-1.0927151357035749e-13,-1.4571596170007447e-13,-2.329827768152943e-13,-1.3491472999290454e-13,0.010197808181254027,-1.294607655826175e-13,-1.3092395211602595e-13,-3.2707150167637703e-13,0.004719592624068986,-2.101394527806741e-13,-1.4989218352270322e-13,-1.8564220613154234e-13,3.4200277646712277e-8,-1.7471120526301385e-13,0.012354501937640011,-2.1951586024381166e-13,-1.5558786284920668e-13,-8.869402978686834e-14,8.579399612211289e-9,-2.0586360294851246e-13,-4.409448285628505e-14,-3.251053212221523e-13,-1.4686452313058967e-13,-1.3788271619907856e-13,-2.7990821358709985e-13,-2.417658354669784e-13,-8.777982204499552e-14,-1.9736316563478598e-13,0.012929083063089106,-1.3812411699275556e-13,0.006824696173521113,0.0018149101330388084,0.014012652483797782,-1.2276057179887765e-13,-1.3485751951010393e-13,0.010661139163611737,1.2708635029797603e-14,1.4229025459915336e-8,-1.5092653510444487e-13,-1.7975232744540345e-13,-1.7468013359567782e-13,0.009205751149374459,4.321021905238543e-9,2.2506920355825192e-8,-1.514611090121362e-13,-1.9120015036651305e-13,-2.9716802705854796e-13,-2.009422375492663e-13,0.002675811744848715,-1.2697865417360464e-13,-1.7109294927740368e-13,-1.8115932790726931e-13,0.01281428702882771,-2.2612150589298052e-13,-1.9102538171400597e-13,0.0183324619214904,0.01880218930781168,0.01876149260611684,-1.0930285347051206e-13,1.2043922871060474e-14,-1.0087161059754741e-13,-1.514696855017634e-13,-7.057279943385341e-14,-2.4543495574828462e-14,-2.0384054592690034e-13,-7.70301703386944e-14,1.0492392225093749e-14,0.003479291201039158,-1.0314145013213146e-13,-2.0533593656243492e-13,-5.591206852608824e-14,-4.971144085121038e-14,-1.6838781400418575e-14,0.006695017212986856,-4.238020334087026e-14,-1.666176533806027e-13,-9.519676436041471e-14,-1.3144904889688298e-13,-1.9519998085583936e-13,0.018236076787355303,0.00035973111946021225,6.64506427352889e-14,-1.777844421639982e-13,-2.1823122970812958e-13,0.005147934575805239,-1.430400737255461e-13,0.006575367073034377,-1.7135086286773817e-13,1.3161551379146421e-8,0.002768274909003185,-1.1838792414259355e-13,2.351194483914701e-8,-1.1651951633074166e-13,3.534871535986313e-8,-1.826960804298898e-13,0.005287053231307318,-1.4691398635394824e-13,3.492158240466416e-8,-1.545042710937953e-14,-2.717304292577672e-13,8.054665716335003e-9,-2.0522442270217994e-13,-3.5487967139358094e-13,-1.9576982995211296e-13,-2.201135552315457e-13,-2.5800198637362245e-14,3.0843906734917336e-14,-1.1847292347115777e-13,-6.506030054126801e-14,0.00039150569604408223,-1.1201776140454928e-13,0.033492423822401474,-2.014494429899706e-13,-8.673585676609788e-14,-8.791922132291072e-14,-1.259601442928865e-13,-1.7679826840104699e-13,-2.2670896107672757e-13,-8.043215290532618e-14,-1.2968766246261735e-13,0.005996975043290097,-7.741760005936442e-14,-1.4095688118968577e-13,-1.2499663524386208e-13,-2.3096451429493673e-13,-5.148046105395535e-14,-1.5886167687138317e-13,-8.690987014211521e-14,-1.0643362765776708e-13,-1.0543629993475763e-13,-1.84252797505157e-13,-7.86454301876333e-14,6.035811111073289e-8,-3.1668767664719126e-13,-1.9315956966183088e-14,-1.1630478113071507e-13,0.0026513330355949936,0.013829813286633847,7.652650607854117e-9,-3.1797755906871286e-14,-1.1126209232990621e-13,-1.532832296907377e-13,-8.666754443147485e-14,-1.5034858912942207e-13,-1.7363944039680938e-13,-1.5293008465773218e-13,1.0985463386219596e-14,-7.348984213393297e-14,-1.6707698917098656e-13,2.079253907859221e-15,-2.4662705573203297e-13,-2.397644389855915e-13,1.5975833412667615e-7,9.272420578161059e-15,-1.0716574486566589e-13,-2.5014072441504078e-14,-1.4957427870618966e-13,-2.2115985077662387e-13,-2.6827287164092342e-14,-8.27192055321081e-14,0.0017198728890883972,-1.0930934180101316e-13,8.142610915390251e-14,-1.8610899004443589e-13,-1.0779436354847962e-13,1.1802017137706885e-8,-1.6612987264764712e-13,0.010656711937942388,0.0130636349923498,0.008750799308826801,0.005471911298245962,-8.066049913714539e-14,-1.0640041226044085e-13,0.0025928719495464598,5.541346663341881e-9,-1.7644341692244385e-13,0.0004437327593147879,-2.8963347003044573e-13,-1.3767879928196685e-13,-1.985164188123996e-13,-1.3284866858241017e-13,-1.193902315251872e-13,0.027196254862767822,-7.992619687638354e-14,-1.4404976376436919e-13,-1.0766290586820391e-13,1.963296225693945e-8,-4.439974006685873e-14,-1.4724261093758306e-13,-2.011209893507263e-13,0.004112812181217637,-1.1198704426843588e-14,2.2242810317166278e-8,0.012999632761199977,-1.2625914798527552e-13,-1.8546360274909342e-13,-1.346928644978124e-13,0.008317552030231401,0.009567556335740737,1.8169917796917826e-8,-2.8169976877817196e-14,-1.784942285385081e-13,-2.0977095171700992e-13,3.561613462349869e-8,0.006459951436945735,-1.433172146758738e-13,-2.18180886804608e-14,0.018102473445243135,-8.864530704509487e-14,-2.2266649294527443e-13,-1.2629032708351041e-13,-2.620057177919939e-13,-1.1391772356528515e-13,-1.9874124673847696e-13,-1.317667029027405e-13,-7.677044187997984e-14,1.3633478230524884e-8,-1.3986460320196062e-13,-1.1292790186426434e-13,-1.7596500974477894e-13,-1.859536453457045e-13,-2.3420035649435493e-13,-2.407915883495425e-13,-9.808875759347977e-14,0.0084766923240668,0.0025351982562260168,-1.1721320668541693e-13,-1.3599951643986093e-13,-1.2684419738937628e-13,7.404511319035715e-9,3.4898447589752896e-8,0.0028244938772263146,-9.219928891561301e-14,6.472521614752134e-9,-2.2495905996164788e-13,0.013074505256690027,-1.3555797600348855e-13,4.6828851386915615e-8,1.3424759360078917e-14,-1.61022734720835e-13,-4.813029557721773e-14,-1.4316864380284228e-13,-1.9285127121191392e-13,-1.5611542334127096e-13,-1.9458646025071023e-13,-2.2535461020312316e-13,-2.30557909694601e-13,-1.5270527305139685e-13,0.003632701257171769,0.021345421377795486,0.0025447832578237737,3.417557228567878e-8,0.022368140763031445,-4.992094722314478e-14,0.030215092051332344,-9.753500212628615e-14,-2.4715787764439017e-14,-2.5554841991773422e-15,0.010876259890092289,0.041407533308999815,5.560826931935259e-14,0.022348626343475318,-5.423648755901455e-14,-1.6034048190213788e-13,0.01045053906247814,-5.194923645085655e-14,0.0056218133260540195,-6.860989170444712e-14,-5.632938811027686e-14,4.70422747901066e-14,-8.457432564412653e-14,-3.649182930401486e-14,-2.0851844719983917e-14,-7.851758858541057e-14,-4.7999775531290184e-14,0.029131527283944254,-1.676959400802638e-13,-6.921734258155796e-14,3.665879031687694e-8,-1.48269141808398e-13,0.021061523044577035,0.003724601285166711,-1.0530402281612755e-13,0.023307734686998614,-1.709328872679979e-14,1.734074161101689e-14,-1.1072883347861593e-13,3.023072308367328e-14,-4.1571421652565673e-14,4.7469137416529194e-14,0.0045310133286828235,-1.2054049037007402e-13,-7.033220321653633e-14,-6.847072135885498e-14,0.034606200493058584,-6.183347624439368e-14,-1.0087049058080227e-13,-4.91599825129591e-14,9.640731616989724e-15,5.984644188685303e-14,0.011320913794459698,-7.45670020525788e-14,6.593476778872884e-14,0.011587732479995071,1.2028421814346495e-14,0.005165692111892762,0.008554929343735435,0.015537102568905949,0.006915014917215876,0.009094427040000791,7.877097587011231e-9,0.004542433221130655,5.616969449070788e-9,-7.675084254161021e-14,-3.7406010474683665e-14,-6.573584766473289e-14,-5.3067824116517496e-14,-8.905939017315993e-14,-3.4299326894634243e-15,-1.2801368232937773e-13,0.00015781182485682688,0.030121664289186202,0.00189627335942292,0.023951883829892124,-1.1538582259076388e-13,0.021605306167761438,-9.827471509598786e-14,-6.306056274334456e-14,-4.587590346594349e-14,0.007495324211893029,0.005144179548042207,3.6141931145174785e-8,-7.92212457530468e-14,0.007251809257141431,-1.341818492794326e-13,0.0460357124031035,0.009594589994037667,0.0005760482637713406,-4.9938468301785843e-14,0.0037391864747938247,0.0006439179562544981,0.0022229831286057324,0.0026270399116914748,0.0017288799839969352,0.0025264323726613912,0.001902066729473427,0.005792859281808661,0.005084779792116227,0.0009895301552813416,0.0016015010274129425,0.0027320348128974906,0.0035016743755959833,0.0024461370970526625,0.00961706716565951,0.001248616813953122,0.0031365012389267923,0.002224901303365201,0.0007250760240182201,0.0015153552095596773,0.0010954062623448862,0.001581436053401826,0.003187511137871703,0.0022270663665237846,0.008565377811083137,0.001604372211811319,0.004631519919991731,0.0025483497511676967,0.0035704662131686824,0.002667464016243915,0.0067636921345326,0.0018164597292458504,0.0014806226972867457,0.0031146893263435554,0.001297757427226657,0.004578102161357664,0.0006028641022939108,0.0007096586086233826,0.0017480844127839425,0.0023229323828625977,0.006864372814841212,0.005631033341161326,0.026114647442937584,0.0006449123466606022,0.002129374832180359,0.0008427642029514798,0.004733283938772175,0.003570039058308002,0.0009421864568598037,0.0038026385010780307,0.0018063283223814224,0.0025516838992631213,0.0032892484347330246,0.001233267804862806,0.0022185840124956347,0.009751851432133567,0.0018455360209179415,0.0011707369760114617,0.002635980321256482,0.006950338228337892,0.0029402470318916018,0.0010992784376260122,0.0009243489293402966,0.00427720300759595,0.0016303584616757676,0.006878014753299841,0.0017183172911347487,0.0011213173593158828,0.0020533120822378253,0.0026755593580931386,0.001521452193538602,0.0005902019579111469,0.002588627216507148,0.0014017175423182496,0.0014259790863739219,0.0012843572723891651,0.0014465343593783105,0.0019111448356269405,0.0029212388854044087,0.005257679291204397,0.005152294702757567,0.01018933118304876,0.011233851224841176,0.011271742378844074,0.0016321201331791241,0.0009443176689804256,0.01456805155878954,0.0006266372250153057,0.002701202076127222,0.003177773284201884,0.0014124719035370984,0.0015335263216940127,0.010503519903480097,0.0029398727702958246,0.0015204293755904242,0.0037383487598330093,0.003029820266616273,0.004030344792346212,0.0010393491081852847,0.009542942604341501,0.008191132379491432,0.0040774449840708885,0.0017817403061586006,0.005674973016599191,0.0017751897351938374,0.0022695577098312244,0.014097812915554146,0.014308614648590649,0.011701784415709583,0.0013871634880998139,0.0018006474081425613,0.0009314177018997891,0.0011837130203816602,0.0012412915591478552,0.0013436456127006004,0.0021022410921455893,0.0020417162528393352,0.0029531275967738056,0.010558656529241378,0.0043463000545107145,0.005600219502127104,0.0038822519187399433,0.002243755022336854,0.0006300834433598427,0.0037984866379217907,0.00023054120967216184,0.004980781048899447,0.0006985550680346495,0.0014065426724449417,0.0014895576108105329,0.010096749889809431,0.0021754995771011785,0.0032008092715438145,0.0031749313994962926,0.001598488480881583,0.004282061552166541,0.002708263150904826,0.009805004576763338,0.0019003435602825529,0.005564993028590791,0.00348839818052923,0.0017544515296939766,0.0016674138834692491,0.0019114086320645533,0.001771323782549811,0.002288987533756318,0.0047465002940559175,0.0012327187447214167,0.003430035809791838,0.0037738419628189717,0.003850970040537719,0.0019481520488727549,0.0009119210172674445,0.003232091542843569,0.0012553708662316853,0.005526548993798598,0.0018071403676598438,0.0014713525986299741,0.0014482510193434583,0.0030554326832431663,0.0015824312962249864,0.0015967259029149446,0.02346449104039137,0.0017385619750848516,0.001957499057579855,0.0017320224092733762,0.002778060074085638,0.0022934016230122993,0.0027182722308367532,0.0020268986107823254,0.00138863787026653,0.008378380882018307,0.004480183479860274,0.001521167901696993,0.0017882841381053277,0.0026955690431605213,0.0004939475794103397,0.0010688846666009628,0.0006364675981255387,0.001734003205058594,0.0015552155895508758,0.0005045272869680783,0.0012831470302946972,0.0019844889637068578,0.0025772025971485674,0.004108285910056652,0.0029309803120127,0.00938271140500608,0.011918670719682632,0.0056803244483195296,0.008793151420300795,0.0011964934587196327,0.0018729143890091583,0.001588610184290916,0.0048775648169540695,0.002363469403557069,0.0035295875564525956,0.0012728836043028966,0.00022553310842521137,0.0014751240058852495,9.807833061009124e-5,0.0018287943421262034,0.0024914343596106597,0.006339646069006986,0.0021308185213356596,0.0021709324409899546,0.0011923536414631308,0.0035068825700586216,0.002709543794971262,0.0016999246899634208,0.002264241426282386,0.005771780261951369,0.0011373405213587612,0.0010206313575175864,0.0038332374686907544,0.004730434976861074,0.004640317398602489,0.0015210757535939578,0.006335994838895141,0.00785659458146499,0.011086703499129331,0.006193352555565928,0.0013241488347953685,0.0036849403887957966,0.005614161459028896,0.0017035245559936843,0.0027247910154722,0.004371157132555046,0.0019144409947230749,0.006252173529012457,0.001957619411226873,0.002924561779076569,0.0011046939591460405,0.02048736675856666,0.0013721244269902007,0.0028571039532875628,0.0029363726912690004,0.0015635022898516687,0.0011550513616465702,0.004549314349895639,0.0016741933003679534,0.01144276095107593,0.0018873722707231032,0.0015946041084377895,0.014144927205197206,0.0032018679560484563,0.0018791147392423987,0.0076166671059758355,0.011103656669872876,0.007857546118823127,0.004238964125800478,0.0022639402911451994,0.002085535934664982,0.0013862353466321644,0.003870676234024217,0.006435766682657137,0.004255528183647759,0.006242793378226902,0.013511727127017616,0.0018108591145799403,0.0015568015384337973,0.0007279335235992624,0.001969836371228875,0.0014656112503032494,0.0023637585476050803,0.006338498520611031,0.0005483523567801231,0.002974946288537506,0.00139039499977897,0.001207667609448264,0.0013087479914909682,0.00322036030670875,0.002330890844138232,0.002863334587413255,0.001435184100345111,0.00789259234261317,0.009059720021999122,0.0024095471797023686,0.0019452435900701955,0.003286662549801782,0.004164198634035383,0.0016434742657216565,0.006643599351332,0.001566246857179067,0.0020445750299603617,0.002454732104627858,0.00959106331311365,0.002167402124875482,0.0040261126276209995,0.0013041763834701035,0.0016662150904365608,0.0023007689678851678,0.0027578825664460248,0.00364798264964467,0.0019238429525736344,0.001817178630252357,0.003589860397301835,0.0033941105648507205,0.0022626539840949083,0.003803215999976822,0.013603783238094346,0.0021850833731449824,0.003108881975150155,0.014589454502396638,0.0012451875749144644,0.016137602999283823,0.0015186293942831548,0.001007383122556784,0.00394745902709896,0.012303147212096948,0.025704975552741153,0.001985842192563125,0.009630385519233384,0.0016527664621249847,0.002795870712520763,0.014477548710390583,0.0009181844074178349,0.01511622283421774,0.0018098942653016468,0.0043775938660301494,0.001828287208789233,0.0026173028431627434,0.0027953971574356494,0.002387856006231688,0.001826008293917787,0.0018704796259656183,0.019570162960246624,0.0021597873269765836,0.0015300322180666899,0.0023150095731171816,0.0018058350873826283,0.010651661198481313,0.006810539348625342,0.0017799605845042427,0.032558337963376524,0.0058299619398336534,0.003944220153752573,0.0008584905314987029,0.0003805797230943179,0.0008362671172250743,0.0034669407429484675,0.00719457222650818,0.001927952165690557,0.001034515196246663,0.0021387086933279424,0.019868158307847134,0.0012923383460106512,0.0013818893896028967,0.001588188708115749,0.0012826962512071849,-0.0006969045062835479,0.012732409499700482,0.002109953796490264,0.001957770202331755,0.008590837404223952,0.0031561777752255704,0.009588587328533939,0.012164012463127637,0.014806445312117398,0.005736721818776208,0.01680815268987052,0.005084942543755763,0.005681004493757162,0.004926737266910142,0.0017338106706503511,0.0019497086231562042,0.002120940656144182,0.0016130069787652294,0.006256811683207217,0.002464789260639004,0.0019444840542868068,0.0038044801653470783,0.012738848905884828,0.0020014010333382543,0.01588277301110343,0.0028070182522405983,0.007703281258682945,0.003088656266517088,0.006305921608703011,0.0010066157062028965,0.005818423333530387,0.007415074952939311,0.0075861004968500465,0.00165811154266272,0.00805119674162095,0.00410953059122039,0.03263207799747407,0.011867808944669187,0.007746161305816796,0.004984688002924342,0.013695897881812292,0.00218746886566185,0.0031137094981964117,0.014695366715309782,0.0012459624107418784,0.016267119207301818,0.0015197818963868972,0.0010078902840156621,0.003955239925309212,0.012378522370073702,0.0260325534623497,0.0019878126075674944,0.009676609466917882,0.0016541314444134493,0.0027997754530004765,0.014581846239680897,0.0009186057295517251,0.01522990148126244,0.0018115310939041693,0.0043871615201486105,0.0018299574328968146,0.002620724952612606,0.0027993006021649106,0.002390704590691271,0.0018276743647224914,0.001872227819949082,0.019760421413657667,0.0021621179521144913,0.0015312020421979656,0.002317687090097599,-0.013510829353056895,-0.0021826944019401814,-0.0031040444421392716,-0.014482507094477905,-0.0012444120909502392,-0.016006685815511155,-0.0015174757528338093,-0.0010068756139768023,-0.003939657592958142,-0.012227151238513664,-0.025371735043035578,-0.0019838691792019554,-0.009583863834677499,-0.0016513999470182254,-0.002791958694885214,-0.01437223962301365,-0.0009177628119683189,-0.01500139274225772,-0.001808255478628999,-0.0043679982780476835,-0.0018266149522007701,-0.002613874777604054,-0.0027914864425290396,-0.0023850028587021703,-0.0018243401967524624,-0.001868729223473004,-0.019377405831335112,-0.0021574533705093577,-0.0015288612086777195,-0.0023123279229092055,0.0018074645531725685,0.010708189693098079,0.006833678497699754,0.0017815436818379529,0.03308270016579804,0.00584692315462167,0.003951988312286249,0.0008588588840927906,0.0003806520447611243,0.0008366166057559885,0.0034729435515488518,0.0072203912206256805,0.0019298093811965461,0.0010350500569551472,0.002140994035285621,0.02006423577104362,0.0012931729925120539,0.0013828436745332428,0.0015894491249803333,0.0012835184554654696,-0.0006966617025517539,0.012813124701360484,0.002112178092834623,0.001959685293996898,0.008627633344738556,0.0031611532057117865,0.009634411504839695,0.012237695779185657,0.014915523593447196,0.0057531453421486335,-0.0018042036693259255,-0.01059472981910597,-0.006787294877424001,-0.0017783755981430674,-0.03202246770300736,-0.005812934684771896,-0.003936431571858968,-0.0008581219961840252,-0.0003805074379419788,-0.0008359174125510154,-0.00346092401635964,-0.007168629093440638,-0.001926092543186917,-0.0010339799735516121,-0.0021364201245019955,-0.019669466232428,-0.0012915029846124488,-0.0013809342150274016,-0.0015869269617991414,-0.0012818733313181914,0.0006971472142049299,-0.012651006239735649,-0.0021077263700720766,-0.001955852568141146,-0.008553830137555372,-0.003151191901624074,-0.009542469273716075,-0.012089729163315556,-0.014696284960942241,-0.005720235355241809,0.016948624765522478,0.005097848931545483,0.005697110844410869,0.004938853657421196,0.0017353127735950835,0.001951607972099009,0.002123188153983955,0.0016143071218796383,0.006276344778155089,0.002467824267166579,0.0019463732562387454,0.003811707948457953,0.012819645579382711,0.0020034024461502,0.016008241622495287,0.0028109541391537728,0.007732875542536962,0.0030934212334451307,0.006325762196312416,0.001007122090143661,0.005835317542197663,0.007442498829760551,0.007614802408754914,0.0016594853778466663,0.008083520918897804,0.004117963076200535,0.033158805456757486,0.011937954383140685,0.007776085569003487,0.0049970908848418925,-0.01666609761797662,-0.005071992310477533,-0.005664837032064667,-0.0049145810032660605,-0.0017323068465349679,-0.0019478067830291214,-0.0021186899192942622,-0.0016117054438171366,-0.006237196972515624,-0.0024617492482419037,-0.0019425924255155875,-0.0037972340436434543,-0.012657363097376027,-0.0019993969980447923,-0.01575596872753173,-0.0028030749645850993,-0.007673534578922754,-0.0030838815330277713,-0.0062859974332686195,-0.0010061089620347391,-0.005801463478494396,-0.007387515180908864,-0.007557253063736213,-0.0016567362189425863,-0.008018698596864035,-0.004101074968322573,-0.0320937640647905,-0.01179710632048642,-0.007716082116538963,-0.0049722438083083425]
  4e-02   1  1  1 |  1  1
41  -1.471e-01  -1.471e-01  +1e-06  9e-09  3e-09  2e-08  8e-10  0.7833  8e-02   1  1  2 |  2  1
42  -1.471e-01  -1.471e-01  +2e-07  2e-09  7e-10  4e-09  2e-10  0.7833  1e-02   1  1  1 |  1  1
43  -1.471e-01  -1.471e-01  +9e-08  9e-10  3e-10  2e-09  7e-11  0.6266  5e-02   1  2  1 |  2  2
44  -1.470e-01  -1.470e-01  +2e-08  2e-10  6e-11  4e-10  2e-11  0.7833  1e-02   1  1  1 |  1  1
45  -1.470e-01  -1.470e-01  +8e-09  8e-11  2e-11  1e-10  6e-12  0.6266  5e-02   1  1  1 |  2  2

OPTIMAL (within feastol=7.9e-11, reltol=5.8e-08, abstol=8.5e-09).
Runtime: 0.484435 seconds.

