
ECOS 2.0.5 - (C) embotech GmbH, Zurich Switzerland, 2012-15. Web: www.embotech.com/ECOS

It     pcost       dcost      gap   pres   dres    k/t    mu     step   sigma     IR    |   BT
 0  +0.000e+00  -2.705e+02  +1e+03  6e-01  5e-01  1e+00  1e+00    ---    ---    0  0  - |  -  - 
 1  -2.042e+00  -7.709e+01  +4e+02  2e-01  1e-01  4e-01  3e-01  0.7612  6e-02   1  1  1 |  1  1
 2  -1.086e+00  -2.064e+01  +9e+01  7e-02  4e-02  1e-01  7e-02  0.7688  2e-02   1  1  1 |  0  0
 3  -4.031e-01  -9.980e+00  +4e+01  4e-02  2e-02  4e-02  3e-02  0.8163  3e-01   2  2  2 |  0  0
 4  -2.114e-01  -2.666e+00  +1e+01  1e-02  4e-03  9e-03  9e-03  0.7482  3e-02   2  2  2 |  1  1
 5  -1.845e-01  -9.619e-01  +4e+00  3e-03  1e-03  3e-03  3e-03  0.6784  4e-02   2  2  2 |  0  0
 6  -1.721e-01  -8.836e-01  +4e+00  3e-03  1e-03  3e-03  3e-03  0.2106  6e-01   2  2  3 |  0  0
 7  -1.839e-01  -8.485e-01  +3e+00  3e-03  1e-03  3e-03  3e-03  0.2631  7e-01   2  2  2 |  0  0
 8  -1.776e-01  -4.679e-01  +2e+00  1e-03  5e-04  1e-03  1e-03  0.6195  1e-01   2  2  2 |  0  0
 9  -1.818e-01  -4.109e-01  +1e+00  9e-04  4e-04  9e-04  9e-04  0.3630  4e-01   3  3  2 |  1  3
10  -1.796e-01  -3.875e-01  +1e+00  8e-04  3e-04  7e-04  8e-04  0.9791  9e-01   2  3  2 | 11  0
11  -1.800e-01  -2.940e-01  +5e-01  5e-04  2e-04  4e-04  4e-04  0.5744  2e-01   3  2  2 |  2  2
12  -1.771e-01  -2.157e-01  +2e-01  2e-04  6e-05  1e-04  1e-04  0.7351  5e-02   2  3  3 |  0  1
13  -1.730e-01  -2.009e-01  +1e-01  1e-04  4e-05  1e-04  7e-05  0.4897  2e-01   3  2  2 |  3  3
14  -1.685e-01  -1.896e-01  +6e-02  1e-04  3e-05  9e-05  5e-05  0.5013  3e-01   2  3  2 |  4  3
15  -1.653e-01  -1.846e-01  +6e-02  9e-05  3e-05  8e-05  4e-05  0.7833  8e-01   3  2  2 | 11  1
16  -1.648e-01  -1.842e-01  +5e-02  1e-04  3e-05  9e-05  4e-05  0.9791  1e+00   2  2  2 | 21  0
17  -1.625e-01  -1.776e-01  +4e-02  8e-05  2e-05  7e-05  3e-05  0.5013  4e-01   3  2  3 |  5  3
18  -1.608e-01  -1.736e-01  +3e-02  7e-05  2e-05  6e-05  2e-05  0.9791  8e-01   2  3  2 | 10  0
19  -1.589e-01  -1.694e-01  +2e-02  6e-05  2e-05  5e-05  2e-05  0.5013  5e-01   2  3  2 |  6  3
20  -1.576e-01  -1.669e-01  +2e-02  5e-05  1e-05  5e-05  1e-05  0.9791  8e-01   2  3  3 | 11  0
21  -1.554e-01  -1.626e-01  +1e-02  4e-05  1e-05  4e-05  1e-05  0.5013  4e-01   3  3  3 |  5  3
22  -1.545e-01  -1.610e-01  +1e-02  4e-05  1e-05  4e-05  8e-06  0.9791  9e-01   3  2  2 | 12  0
